City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
Baguio City,10/10/2023,20.04,39.93,3.01,28.42,17.6,14.9,0.74,10.43,41.96,0.06,0.1,0.1,,
Baguio City,6/5/2023,15.28,50.87,15.49,35.52,31.56,16.42,0.84,9.78,37.99,0.05,0.08,0.11,,
Baguio City,4/5/2023,20.38,38.61,2.29,22.82,13.91,16.94,0.7,6.98,40.95,0.02,0.02,0.1,,
Baguio City,7/14/2023,12.82,46.33,2.59,15.97,10.54,14.52,0.55,7.78,32.91,0,0.01,0.1,,
Baguio City,6/1/2023,12.2,47.03,1.38,13.31,8.16,12.92,0.54,13.52,27.85,0,0.01,0.1,,
Baguio City,4/26/2023,12.61,45.58,7.55,17.35,15.37,10.31,0.59,12.99,24.83,0,0,0.1,,
Baguio City,5/26/2023,12.24,47.35,8.59,17.16,16.19,11.98,0.72,10.51,19.85,0,0,0.1,,
Baguio City,11/15/2023,15.34,46.56,7.19,15.26,14.04,9.84,0.58,10.5,24.21,0,0.01,0.1,,
Baguio City,1/25/2023,16.93,43.44,18.66,21.18,26.51,9.69,0.72,8.3,27.25,0,0.04,0.15,,
Baguio City,11/27/2023,18.67,35,26.53,25.18,35.05,10.43,0.64,14.78,30.4,0,0.04,0.1,,
Baguio City,4/21/2023,16.34,37.36,43.76,28.73,50.94,9.94,0.8,9.67,31.72,0.02,0.07,0.11,,
Baguio City,11/25/2023,10.38,35.89,18.77,24.64,28.36,13.1,0.53,14.5,35.13,0.02,0.05,0.12,,
Baguio City,5/31/2023,10.86,39.16,3.59,18.86,13.05,14.69,0.51,13.5,30.89,0,0.01,0.1,,
Baguio City,1/6/2023,14.35,39.46,3.89,12.56,9.93,11.9,0.46,11.27,19.85,0,0,0.1,,
Baguio City,8/22/2023,14.49,32.39,2.82,8.15,6.69,9.17,0.4,10.43,23.58,0,0.01,0.1,,
Baguio City,2/24/2023,10.31,43.72,3.23,13.32,9.81,9.1,0.56,15.85,25.36,0,0.01,0.1,,
Baguio City,1/27/2023,10.52,35.08,2.49,9.07,6.97,11.97,0.52,11.04,33.63,0,0.01,0.1,,
Baguio City,4/20/2023,11.57,39.28,2.9,8.11,6.76,10.79,0.44,8.55,27.48,0,0,0.1,,
Baguio City,4/11/2023,18.3,48.5,5.46,12,10.75,11.3,0.43,5.49,23.63,0,0,0.1,,
Baguio City,5/16/2023,15.23,31.38,2.9,10.62,8.02,11.85,0.41,11.52,19.77,0,0,0.1,,
Baguio City,1/18/2023,19.62,38.25,3.11,13.02,9.5,12.13,0.5,14.74,33.17,0,0.01,0.1,,
Baguio City,9/21/2023,15.31,34.33,2.37,16.7,10.86,12.82,0.69,15.37,44.06,0.08,0.18,0.16,,
Baguio City,11/5/2023,11.4,33.09,1.68,13.22,8.24,13.14,0.57,11.6,44.93,2.25,4.15,0.74,,
Baguio City,5/23/2023,18.14,45.32,2.15,8.68,6.38,11.34,0.62,10.98,31.2,1.7,4.48,0.42,,
Baguio City,5/23/2023,18.25,37.87,2.82,9.92,7.57,11.03,0.69,12.43,29.66,1.38,5.33,0.54,,
Baguio City,9/13/2023,14.53,39.05,4.02,8.02,7.5,9.45,0.35,12.07,22.33,1.05,4.23,0.34,,
Baguio City,4/17/2023,10.04,39.69,2.6,8.45,6.56,8.86,0.53,14.06,22.67,0.95,3.31,0.29,,
Baguio City,9/6/2023,20.89,33.86,5.03,15.67,12.51,9.74,0.41,13.33,27.15,1.01,6.81,0.67,,
Baguio City,5/5/2023,11.64,35.52,4.4,17.4,12.91,11.1,0.4,9.21,31.25,0.86,4.9,0.37,,
Baguio City,7/30/2023,18.55,34.4,14.09,24.88,24.78,9.4,0.45,8.16,27.19,1.07,9.76,1.02,,
Baguio City,1/11/2023,17.74,50.09,6.29,19.29,15.47,9.87,0.64,11.35,29.47,1.03,6.87,0.58,,
Baguio City,12/24/2023,10.86,43.43,4.18,14.19,11.01,10.37,0.46,7.42,22.03,1.46,5.11,0.44,,
Baguio City,6/20/2023,18.59,31.63,6.5,14.86,12.92,11.63,0.58,7.89,28.04,1.74,9.37,0.68,,
Baguio City,8/26/2023,18.88,39.58,7.47,13.59,13.38,7.71,0.56,10.99,21.12,1.17,4.07,0.33,,
Baguio City,10/14/2023,11.46,53.01,2.18,9.6,6.94,6.44,0.68,9.51,29.78,1.87,3.29,0.26,,
Baguio City,10/2/2023,12.16,42.63,2.04,7.75,5.44,7.63,0.7,9.14,32.42,4.88,2.68,2.27,,
Baguio City,7/19/2023,20.92,32.43,1.13,6.24,4.23,7.09,0.5,7.63,36.81,1.7,2.82,0.13,,
Baguio City,9/8/2023,12.34,42.45,2.86,12.03,8.56,5.6,0.53,10.27,29.46,1.18,3.57,0.28,,
Baguio City,9/28/2023,15.49,32.16,9.37,14.63,15.49,5.75,0.53,8.61,29.24,1.4,4.5,0.38,,
Baguio City,10/18/2023,11.18,35.12,2.41,8.02,5.87,6.06,0.47,9.11,29.02,1.46,3.2,0.2,,
Baguio City,5/1/2023,20.62,37.27,2.89,10.15,7.82,5.53,0.5,13.84,21.8,1.51,3.77,0.25,,
Baguio City,5/21/2023,17.86,41.53,3.09,9.93,7.87,5.76,0.49,10.38,21.95,1.2,3.07,0.21,,
Baguio City,9/8/2023,10.94,34.84,2.23,10.84,7.69,7.15,0.54,12.07,32.91,1.09,3.83,0.24,,
Baguio City,3/27/2023,16.08,48.23,3.41,12.49,9.43,6.62,0.54,12.69,28.07,1.18,3.54,0.3,,
Baguio City,1/26/2023,19.75,53.38,2.56,9.81,7.4,6.81,0.45,8.19,30.44,1.08,2.73,0.21,,
Baguio City,4/13/2023,15.5,36.42,1.74,9.49,6.53,8.36,0.56,17.06,42.66,1.26,2.14,0.18,,
Baguio City,8/18/2023,12.99,42,1.11,9.26,5.64,7.66,0.58,16.56,34.64,0.69,3.43,0.22,,
Baguio City,7/31/2023,17.61,36.51,1.55,7.48,4.74,7.56,0.69,12.4,38.42,0.52,3.58,0.15,,
Baguio City,5/10/2023,19.85,39.71,1.54,8.62,5.72,6.27,0.71,14.7,31.67,1.13,2.43,0.22,,
Baguio City,3/21/2023,18.18,48.09,1.4,5.59,4.08,6.03,0.48,9.15,25.97,1.09,1.72,0.15,,
Baguio City,5/20/2023,19.7,35.59,3.77,7.21,6.99,5.55,0.64,10.24,20.32,1.33,2.13,0.23,,
Baguio City,4/9/2023,12.56,49.61,3.12,6.06,5.7,5.8,0.67,13.03,28.03,1.06,2.11,0.15,,
Baguio City,10/30/2023,13.39,52.36,2.2,5.25,3.94,6.21,0.62,12.96,40.3,0.51,2.03,0.16,,
Baguio City,5/6/2023,15.28,38.32,1.42,7.03,4.48,4.36,0.76,10.88,38.75,0.8,1.6,0.15,,
Baguio City,2/23/2023,15.49,34.95,1.45,4.2,3.38,4.21,0.57,12.69,22.15,0.69,1.25,0.13,,
Baguio City,12/24/2023,15.64,50.19,1.56,4.48,3.53,4.22,0.63,10.9,26.79,0.71,1.43,0.12,,
Baguio City,6/24/2023,11.37,50.99,1.14,3.14,2.26,4.47,0.61,8.92,39.57,0.67,2.24,0.12,,
Baguio City,10/2/2023,19.01,42.49,0.46,2.04,0.86,3.7,0.4,13.09,33.05,0.63,1.54,0.12,,
Baguio City,9/12/2023,16.83,31.45,2.53,5.32,4.04,3.95,0.58,14.02,30.87,0.78,2.17,0.16,,
Baguio City,1/3/2023,17.25,34.04,2.4,9.61,6.54,3.98,0.39,11.84,46.66,0.67,2.74,0.25,,
Baguio City,1/7/2023,15.44,32.9,1.12,6.04,4.03,3.86,0.36,14.45,28.78,0.62,1.37,0.14,,
Baguio City,5/13/2023,15.29,44.66,1.94,11.38,7.46,3.49,0.64,18.42,19.94,0.33,2.13,0.18,,
Baguio City,1/24/2023,16.52,45.27,2.19,20.61,12.25,4.81,0.65,22.54,20.53,0.67,2.07,0.21,,
Baguio City,11/3/2023,11.38,35.07,2.19,17.13,10.91,7.6,0.54,15.71,25.28,0.52,2.02,0.18,,
Baguio City,10/16/2023,14.86,44.34,2.65,13.78,9.52,6.54,0.51,10.6,26.51,0.16,3.11,0.14,,
Baguio City,3/23/2023,10.87,47.23,3.35,13.27,9.6,7.05,0.59,12.58,26.46,0.19,2.64,0.12,,
Baguio City,5/28/2023,19.12,38.97,2.81,12.29,8.89,4.58,0.35,17.07,24.65,0.27,2.25,0.14,,
Baguio City,5/8/2023,12.68,53.58,1.48,12.59,7.81,3.34,0.32,21.81,28.75,0.01,2.55,0.14,,
Baguio City,9/27/2023,18.61,36.79,2.29,19.85,11.65,4.32,0.48,23.3,39.42,0.39,2.28,0.23,,
Baguio City,6/18/2023,17.51,37.67,8.38,29.05,22.21,3.97,0.58,16.03,23.73,0.41,3.95,0.48,,
Baguio City,7/29/2023,18.24,44.24,2.68,18.08,11.89,4.04,0.48,12.66,27.14,0.25,2.73,0.21,,
Baguio City,9/20/2023,13.98,46.59,4.67,18.74,13.85,6.85,0.48,12.78,25.81,0.24,1.43,0.13,,
Baguio City,8/28/2023,15.01,37.85,2.79,18.31,12.1,8.01,0.51,8.71,34.54,0.19,1.79,0.13,,
Baguio City,11/23/2023,20.22,51.4,1.97,16.88,10.58,5.65,0.66,16.4,34.16,0.38,1.13,0.11,,
Baguio City,8/21/2023,11.01,31.09,2.16,15.11,9.79,4.67,0.42,13.67,23.72,0.11,1.33,0.18,,
Baguio City,11/18/2023,14.02,38.23,2.1,15.46,9.94,4.07,0.31,12.72,23.43,0.06,1.73,0.13,,
Baguio City,7/13/2023,20.39,37.77,1.99,19.23,11.85,4.84,0.4,13.57,35.2,0.05,1.84,0.18,,
Baguio City,7/31/2023,15.07,32.51,2.87,23.54,14.82,3.53,0.64,26.8,38.05,0.45,2.85,0.27,,
Baguio City,8/15/2023,12.16,45.76,1.76,27.29,16.03,3.52,0.98,16.06,56.99,0.57,3.44,0.37,,
Baguio City,1/5/2023,17.31,46.1,3.54,35.92,21.98,5.61,0.78,16.59,58.87,0.7,5.18,0.51,,
Baguio City,5/29/2023,18.41,36.34,1.17,22.32,12.89,7.12,0.53,16.97,67.99,0.35,2.22,0.38,,
Baguio City,2/20/2023,17.85,35.08,1.12,23.24,13.25,6,0.52,15.33,69.15,0.35,1.97,0.18,,
Baguio City,4/22/2023,20.04,43.05,1.53,20.22,12.09,7.92,0.64,22.25,68.43,0.3,2.17,0.15,,
Baguio City,11/3/2023,14.22,49.78,1.14,18.58,10.81,7.81,0.44,13.03,51.98,0.14,1.37,0.12,,
Baguio City,2/17/2023,13.64,52.89,0.95,26.89,13.92,4.26,0.77,25.9,73.55,0.48,4,0.2,,
Baguio City,5/31/2023,19.84,48.5,1.4,24.31,13.78,5.75,0.7,30.4,74.3,0.34,2.48,0.18,,
Baguio City,7/5/2023,19.82,43.97,1.63,19.79,12,7.06,0.63,19.26,54.72,0.34,2.48,0.12,,
Baguio City,7/7/2023,11.58,35.6,1.74,19.29,11.72,6.98,0.59,17.83,49.82,0.33,1.68,0.12,,
Baguio City,4/18/2023,10.55,48.21,1.15,37,20.6,5.35,0.78,23.6,37.05,0.45,3.7,0.35,,
Baguio City,3/2/2023,19.68,32.81,1.82,19.59,12.05,6.69,0.78,23.1,45.48,0.17,1.68,0.1,,
Baguio City,5/17/2023,14.95,36.65,1.99,21.47,13.17,4.15,0.5,25.09,43.31,0.06,1.6,0.11,,
Baguio City,10/30/2023,14.06,42.67,1.7,19.98,12.12,6.69,0.7,24.2,42.21,0.14,1.32,0.11,,
Baguio City,11/4/2023,11.23,45.09,1.93,20.32,12.54,4.91,0.53,21.47,43.36,0.23,2.08,0.12,,
Baguio City,10/22/2023,15.56,51.93,2,21.71,13.26,5.96,0.67,24.72,42.13,0.31,1.77,0.16,,
Baguio City,3/26/2023,18.25,39.56,0.8,17.33,9.84,4.32,0.47,17.09,44.47,0.06,1.16,0.11,,
Baguio City,7/5/2023,18.73,47.32,0.91,18.93,10.8,4.17,0.53,23.95,45.97,0.06,1.32,0.11,,
Baguio City,1/21/2023,17.45,38.19,1.83,19.42,11.91,4.01,0.61,21.27,34.54,0.15,1.24,0.11,,
Baguio City,7/6/2023,15.56,34.3,1.86,20.68,12.51,3.36,0.49,16.73,19.84,0.1,1.17,0.14,,
Baguio City,4/26/2023,16.12,50.07,2.18,18.38,11.7,3.7,0.79,27.47,41.48,0.11,1.27,0.1,,
Baguio City,10/4/2023,14.58,43.75,1.27,16.96,10.05,3.25,0.72,13.67,30.35,0.21,1.02,0.11,,
Baguio City,1/4/2023,19.7,43.68,1.5,17.83,10.77,3.8,0.63,14.71,37.15,0.17,1.46,0.11,,
Baguio City,6/3/2023,10.18,52.85,1.7,17.31,10.2,4.07,0.89,18.61,48.85,0.21,1.82,0.11,,
Baguio City,11/28/2023,19.69,44.73,0.71,16.93,9.55,3.35,0.51,14.62,54.63,0.14,1.55,0.14,,
Baguio City,4/7/2023,16.89,36.83,1.31,18,10.69,4.51,0.47,13.86,51.56,0.14,1.27,0.11,,
Baguio City,9/29/2023,10.75,39.93,1.47,18.03,10.88,4.47,0.52,17.79,42.23,0.14,1.09,0.11,,
Baguio City,5/18/2023,15.79,52.09,1.45,16.29,9.94,4.22,0.48,15.76,42.04,0.14,1.06,0.11,,
Baguio City,5/16/2023,14.2,46.17,2.11,26.44,15.85,3.85,0.57,19.96,45.17,0.23,2.96,0.15,,
Baguio City,4/24/2023,18.54,41.1,0.97,17.39,10.05,4.06,0.51,14.55,48.97,0.03,1.06,0.12,,
Baguio City,7/31/2023,16.07,51.16,1.66,22.98,13.65,4.84,0.77,17.7,39.43,0.16,1.62,0.19,,
Baguio City,4/16/2023,16.1,40.82,0.72,18.25,10.27,4.59,0.5,16.21,54.72,0.05,1.29,0.13,,
Baguio City,12/28/2023,10.71,39.41,1.39,20.17,11.91,4,0.45,18.1,43.53,0.13,1.09,0.13,,
Baguio City,2/2/2023,15.74,44.59,1.54,27.54,15.99,3.61,0.95,17.17,42.88,0.17,2.37,0.24,,
Baguio City,11/4/2023,16.62,34.92,0.66,19.93,10.94,4.56,0.46,21.35,54.64,0.06,1.09,0.11,,
Baguio City,8/4/2023,20.16,38.75,1.81,26.79,9.83,12.18,0.53,26.62,41.27,0.28,1.46,0.16,,
Baguio City,10/12/2023,14.62,45.77,1.52,24.2,13.97,5.86,0.52,23.46,56.71,0.15,1.38,0.12,,
Baguio City,9/1/2023,15.82,38.63,2.87,26.2,16.27,7.52,0.58,17.18,55.48,0.03,1.32,0.14,,
Baguio City,11/14/2023,19.4,42.79,0.73,20.95,11.65,5.5,0.52,15.99,75.1,0.07,1.06,0.12,,
Baguio City,12/25/2023,14.03,34.34,2.62,25.07,15.42,5.06,0.5,18.35,62.52,0.13,1.19,0.18,,
Baguio City,7/19/2023,17.33,48.92,3.61,24.16,15.86,4.78,0.37,14.02,44.59,0.08,1.26,0.12,,
Baguio City,8/29/2023,20.94,49.03,5,29.99,20.12,4.69,0.34,13.82,41.43,0.09,1.65,0.13,,
Baguio City,2/7/2023,11.37,45.46,4.88,33.11,21.72,3.35,0.49,17.28,38.1,0.2,2.31,0.1,,
Baguio City,3/9/2023,19,39.98,3.23,24.02,15.47,2.09,0.36,16.48,32.84,0.27,1.13,0.12,,
Baguio City,4/22/2023,13.56,48.88,1.53,18.88,11.36,3.49,0.38,14.79,38.49,0.08,0.96,0.2,,
Baguio City,1/30/2023,11.39,50.36,0.8,18.26,10.36,2.01,0.31,9.68,47.37,0.22,1.39,0.1,,
Baguio City,12/8/2023,13.65,31.36,3.71,28.19,18.1,4.94,0.49,14.94,30.27,0.18,3.67,0.18,,
Baguio City,10/26/2023,19.49,53.88,7.98,36.52,26.01,2.85,0.46,13.66,30.54,0.27,3.55,0.44,,
Baguio City,5/25/2023,13.03,50.27,2.87,27.95,16.23,4.57,0.44,18.83,38.25,0.27,3.08,0.19,,
Baguio City,5/4/2023,15.44,40.7,3.87,25.45,16.74,4.45,0.45,18.94,34.87,0.28,1.73,0.14,,
Baguio City,6/16/2023,11.8,45.53,2.87,29.14,17.92,4.79,0.57,16.39,32.98,0.18,2.02,0.15,,
Baguio City,12/22/2023,13.72,42.88,1.54,25.75,15.04,5.54,0.5,16.01,36.19,0.04,1.81,5.99,,
Baguio City,2/8/2023,15.01,53.89,1,24.16,13.66,4.77,0.46,14.9,40.53,0.06,1.31,0.2,,
Baguio City,3/4/2023,20.49,49.7,1.43,20.53,12.15,5.4,0.43,16.53,42.92,0.11,1.04,0.11,,
Baguio City,12/23/2023,15.17,43.21,2.36,30.66,18.32,4.41,0.76,14.36,38.26,0.08,2.31,0.28,,
Baguio City,11/15/2023,15.64,41.88,4.83,36.24,23.3,4.23,0.73,17.88,24.68,0.08,2.16,0.31,,
Baguio City,7/3/2023,10.56,44.15,3.08,26.62,16.74,3.09,0.53,17.43,27.85,0.1,1.04,0.17,,
Baguio City,7/14/2023,12.49,46.43,2.1,22,13.49,3.36,0.36,19.5,32.37,0.07,0.44,0.1,,
Baguio City,2/13/2023,20.58,39.12,1.72,20.71,12.5,2.82,0.32,18.01,32.91,0.05,0.23,0.1,,
Baguio City,3/9/2023,15.39,44.18,1.2,22.16,12.76,2.1,0.35,17,40.21,0.03,0.41,0.1,,
Baguio City,2/6/2023,10.91,44.9,4.39,29.37,19.27,2.9,0.42,16.27,29.58,0.11,0.91,0.24,,
Baguio City,9/25/2023,19.1,31.25,6.49,29.88,21.26,2.4,0.59,13.78,23.41,0.07,0.72,0.12,,
Baguio City,10/26/2023,14.91,50.3,7.23,30.62,22.26,2.68,0.61,12.6,27.29,0.09,0.67,0.1,,
Baguio City,10/23/2023,19.54,38.42,11.11,30.36,25.27,2.7,0.57,14.32,26.69,0.27,0.83,0.16,,
Baguio City,3/18/2023,15.57,45.7,8.27,25.22,20.23,2.46,0.62,16.24,22.99,0.23,1.38,0.59,,
Baguio City,9/23/2023,12.38,34.72,2.55,18,11.62,3.43,0.58,18.86,26.64,0.21,0.49,0.16,,
Baguio City,3/14/2023,15.97,37.52,0.93,18.2,10.43,1.28,0.39,23.12,30.24,0.09,0.56,0.16,,
Baguio City,1/10/2023,14.77,36.66,2.64,22.88,14.4,1.91,0.33,17.88,25.83,0.17,0.97,0.17,,
Baguio City,12/22/2023,16.22,39.09,4.61,23.47,16.32,1.62,0.28,17.09,27.47,0.11,0.82,0.15,,
Baguio City,11/20/2023,20.6,39.76,5.45,25.64,18.15,2.13,0.51,20.09,32.1,0.15,1.14,0.11,,
Baguio City,12/26/2023,13.05,44.85,5.24,26.2,18.29,2.44,0.34,23.89,26.88,0.2,1.2,0.11,,
Baguio City,8/9/2023,16.89,48.03,5.28,22.68,16.42,2.06,0.56,22.58,25.94,0.15,2.15,0.18,,
Baguio City,1/11/2023,15.81,51.26,1.25,4.58,3.13,3.6,0.42,14.79,36.77,0.2,1.3,0.25,,
Baguio City,6/17/2023,14.64,37.84,0.74,3.7,2.34,2.84,0.4,15.89,31.62,0.03,0.56,0.17,,
Baguio City,8/4/2023,10.37,32.9,2.92,9.95,7.26,2.99,0.36,16.35,32.13,0.12,1.45,0.22,,
Baguio City,3/1/2023,15.21,33.68,4.68,17.05,12.96,2.72,0.47,15.46,27.69,0.18,2.6,0.29,,
Baguio City,7/17/2023,18.3,47.67,4.74,19.35,14.24,5.9,0.45,19.19,31.87,0.44,16.07,0.39,,
Baguio City,2/7/2023,19.33,39.55,3.29,16.01,11.13,5.05,0.43,12.93,35.8,0.18,2.28,0.21,,
Baguio City,6/2/2023,19.86,50.09,2.14,13.16,8.82,6.07,0.54,20.51,33.08,0.08,1.4,0.26,,
Baguio City,9/6/2023,17.58,31.29,1.11,5.65,3.93,5.5,0.44,13.82,37.65,0.05,1.13,0.26,,
Baguio City,7/3/2023,12.05,45.35,1.25,4.64,3.56,4.81,0.49,9.71,34.63,0.03,0.98,0.18,,
Baguio City,1/15/2023,19.16,49.3,2.53,9.64,7.23,4.25,0.5,15.68,29.49,0.09,1.26,0.2,,
Baguio City,11/12/2023,17.82,45.92,8.56,12.71,13.79,3.87,0.42,15.77,22.09,0.09,0.98,0.16,,
Baguio City,2/20/2023,12.67,40.59,2.09,7.06,5.44,3.02,0.32,9.04,24.9,0.11,0.85,0.12,,
Baguio City,8/15/2023,10.41,40.43,12.82,24.43,23.57,2.84,0.38,21.66,27.89,0.11,1.35,0.27,,
Baguio City,2/26/2023,11.03,36.08,4.57,10.04,8.96,3.4,0.38,12.51,20.01,0.09,0.96,0.15,,
Baguio City,4/20/2023,19.17,40.79,1.4,3.94,2.89,3.12,0.55,14.14,22.33,0.13,0.94,0.16,,
Baguio City,12/15/2023,14.49,37.59,0.65,2.08,1.4,2.17,0.33,12.58,22.05,0,0.38,0.1,,
Baguio City,7/19/2023,15.16,46.88,5.81,11.39,9.53,2.47,0.56,21.15,19.61,0.1,0.84,0.15,,
Baguio City,5/27/2023,18.31,41.47,5.36,10.03,9.41,1.87,0.31,14.72,22.5,0.19,0.98,0.13,,
Baguio City,7/13/2023,19.25,40.32,2.17,4.4,4.19,2.59,0.38,11.66,24.46,0.2,0.88,0.11,,
Baguio City,4/2/2023,15.08,33.94,1.77,4.43,3.76,2.43,0.39,13.83,20.11,0.06,0.5,0.21,,
Baguio City,1/4/2023,19.2,47.84,1.61,1.52,1.86,2.44,0.46,13.29,18.07,0.04,0.26,0.1,,
Baguio City,1/8/2023,19.07,38.12,1.48,3.35,2.36,4.4,0.32,11.83,20.23,0.09,0.36,0.1,,
Baguio City,11/12/2023,13.04,44.33,1.68,4.02,3.51,6.13,0.34,10.88,23.92,0.19,0.4,0.1,,
Baguio City,5/11/2023,17.01,32.69,2.74,6.1,5.55,6.38,0.34,26.08,26.62,0.35,0.49,0.1,,
Baguio City,9/9/2023,10.2,36.87,2.96,6.48,5.95,6.28,0.34,13.35,21.06,0.06,0.61,0.12,,
Baguio City,12/28/2023,20.95,47.92,3.22,6.38,6.1,6.23,0.46,11.57,21.64,0.22,0.5,0.1,,
Baguio City,9/18/2023,13.04,49.91,3.47,7.66,6.99,6.31,0.27,11.94,22.68,0.29,0.5,0.1,,
Baguio City,6/17/2023,19.06,34.84,3.17,10.11,8.05,6.98,0.41,11.86,22.62,0.12,1.08,0.16,,
